Title,Link,Date,Comments,Likes,Tweets,LinkedIn,Pins,+ 1's
Techies and normals,http://cdixon.org/2010/01/22/techies-and-normals/,"January 22, 2010",0,17,28,5,0,0
Will people pay for the New York Times online?,http://cdixon.org/2010/01/18/will-people-pay-for-the-new-york-times-online/,"January 18, 2010",0,0,0,0,0,0
Collective knowledge systems,http://cdixon.org/2010/01/17/collective-knowledge-systems/,"January 17, 2010",0,3,6,3,0,0
Security through diversity,http://cdixon.org/2010/01/12/security-through-diversity/,"January 12, 2010",0,0,0,0,0,0
Shutting down,http://cdixon.org/2010/01/09/shutting-down/,"January 9, 2010",0,0,0,0,0,0
Speculation on Apple’s purchase of Quattro Wireless,http://cdixon.org/2010/01/05/speculation-on-apples-purchase-of-quattro-wireless/,"January 5, 2010",0,2,0,0,0,0
The next big thing will start out looking like a toy,http://cdixon.org/2010/01/03/the-next-big-thing-will-start-out-looking-like-a-toy/,"January 3, 2010",0,56,164,55,0,1
What’s strategic for Google?,http://cdixon.org/2009/12/30/whats-strategic-for-google/,"December 30, 2009",0,34,93,4,0,1
What’s the right amount of seed money to raise?,http://cdixon.org/2009/12/28/whats-the-right-amount-of-seed-money-to-raise/,"December 28, 2009",0,7,14,5,0,0
Are people more willing to pay for digital goods on mobile devices?,http://cdixon.org/2009/12/27/are-people-more-willing-to-pay-for-digital-goods-on-mobile-devices/,"December 27, 2009",0,0,0,0,0,0
Why the web economy will continue growing rapidly,http://cdixon.org/2009/12/26/why-the-web-economy-will-continue-growing-rapidly/,"December 26, 2009",0,2,3,3,0,0
Google should open source what actually matters: their search ranking algorithm,http://cdixon.org/2009/12/22/google-should-open-source-what-actually-matters-their-search-ranking-algorithm/,"December 22, 2009",0,3,0,0,0,0
Anatomy of a bad search result,http://cdixon.org/2009/12/19/anatomy-of-a-bad-search-result/,"December 19, 2009",0,4,0,0,0,0
Google’s feature creep,http://cdixon.org/2009/12/17/googles-feature-creep/,"December 17, 2009",0,1,0,0,0,0
Search and the social graph,http://cdixon.org/2009/12/14/search-and-the-social-graph/,"December 14, 2009",0,0,0,0,0,0
20×200: democratizing art,http://cdixon.org/2009/12/12/20x200/,"December 12, 2009",0,0,1,0,0,0
Why did Skype succeed and Joost fail?,http://cdixon.org/2009/12/08/why-did-skype-succeed-and-joost-fail/,"December 8, 2009",0,1,0,0,0,0
Welcoming Jimmy Wales to Hunch,http://cdixon.org/2009/12/07/welcoming-jimmy-wales-to-hunch/,"December 7, 2009",0,0,0,0,0,0
Does a VC’s brand matter?,http://cdixon.org/2009/12/05/does-a-vcs-brand-matter/,"December 5, 2009",0,0,0,0,0,0
New Hunch interface,http://cdixon.org/2009/12/03/new-hunch-interface/,"December 3, 2009",0,0,2,0,0,0
Some thoughts on SEO,http://cdixon.org/2009/12/02/seo/,"December 2, 2009",0,0,0,0,0,0
Most popular posts,http://cdixon.org/2009/11/29/most-popular-posts/,"November 29, 2009",0,1,0,0,0,0
The importance of institutional redundancy,http://cdixon.org/2009/11/20/the-importance-of-institutional-redundancy/,"November 20, 2009",0,0,39,25,0,0
"Pitch yourself, not your idea",http://cdixon.org/2009/11/14/pitch-yourself-not-your-idea/,"November 14, 2009",0,17,38,10,0,1
Presenting Founder Collective,http://cdixon.org/2009/11/09/presenting-founder-collective/,"November 9, 2009",0,0,2,1,0,0
Information security – are we experiencing a Pax Romana?,http://cdixon.org/2009/11/08/information-security-are-we-experiencing-a-pax-romana/,"November 8, 2009",0,0,0,0,0,0
Hunch blogger widget,http://cdixon.org/2009/11/06/hunch-blogger-widget/,"November 6, 2009",0,0,0,0,0,0
How to select your angel investors,http://cdixon.org/2009/11/03/how-to-select-your-angel-investors/,"November 3, 2009",0,1,2,1,0,0
The most important question to ask before taking seed money,http://cdixon.org/2009/10/30/the-most-important-question-to-ask-before-taking-seed-money/,"October 30, 2009",0,8,0,0,0,0
Embrace the medium,http://cdixon.org/2009/10/27/embrace-the-medium/,"October 27, 2009",0,0,0,0,0,0
Twelve months notice,http://cdixon.org/2009/10/23/twelve-months-notice/,"October 23, 2009",0,3,6,0,0,0
"Obama:  stock picker, or confidence builder?",http://cdixon.org/2009/10/23/obama-stock-picker-or-confidence-builder/,"October 23, 2009",0,0,0,0,0,0
The ideal startup career path,http://cdixon.org/2009/10/22/the-ideal-startup-career-path/,"October 22, 2009",0,23,12,1,0,0
The challenge of creating a new category,http://cdixon.org/2009/10/20/the-challenge-of-creating-a-new-category/,"October 20, 2009",0,0,2,0,0,0
"If Verizon’s Droid is good, that’s bad for the wireless ecosystem",http://cdixon.org/2009/10/18/if-verizons-droid-is-good-thats-bad/,"October 18, 2009",0,0,0,0,0,0
"Dow 10,000 and economic reflexivity",http://cdixon.org/2009/10/17/dow-10000-and-economic-reflexivity/,"October 17, 2009",0,1,0,0,0,0
What’s the relationship between cost and price?,http://cdixon.org/2009/10/16/whats-the-relationship-between-cost-and-price/,"October 16, 2009",0,2,0,0,0,0
What carries you up will also bring you down,http://cdixon.org/2009/10/13/what-carries-you-up-will-also-bring-you-down/,"October 13, 2009",0,5,0,0,0,0
Understanding your market,http://cdixon.org/2009/10/11/understanding-your-market/,"October 11, 2009",0,0,3,0,0,0
Man and superman,http://cdixon.org/2009/10/10/man-and-superman/,"October 10, 2009",0,39,38,4,0,3
The importance of asking people questions,http://cdixon.org/2009/10/06/ask-people-questions/,"October 6, 2009",0,0,0,0,0,0
The cloud is a powder keg,http://cdixon.org/2009/10/03/the-cloud-is-a-powder-keg/,"October 3, 2009",0,1,0,0,0,0
The problem with online “local” businesses,http://cdixon.org/2009/10/02/the-problem-with-online-local-businesses/,"October 2, 2009",0,0,15,1,0,0
Why does it matter that Twitter is supplanting RSS?,http://cdixon.org/2009/10/01/why-does-it-matter-that-twitter-is-supplanting-rss/,"October 1, 2009",0,0,2,0,0,0
Twitter killed RSS (and that’s a bad thing),http://cdixon.org/2009/09/29/twitter-killed-rss-and-thats-a-bad-thing/,"September 29, 2009",0,0,15,3,0,0
Why content sites are getting ripped off,http://cdixon.org/2009/09/29/why-content-sites-are-getting-ripped-off/,"September 29, 2009",0,6,7,3,0,0
The new economy,http://cdixon.org/2009/09/28/the-new-economy/,"September 28, 2009",0,1,1,0,0,0
What if online business model innovation is slowing down?,http://cdixon.org/2009/09/28/what-if-online-business-model-innovation-is-slowing-down/,"September 28, 2009",0,0,0,0,0,0
Online advertising is all about purchasing intent,http://cdixon.org/2009/09/27/online-advertising-is-all-about-purchasing-intent/,"September 27, 2009",0,6,17,2,0,0
"Yahoo should invest in products, not advertising",http://cdixon.org/2009/09/26/yahoo-should-invest-in-products-not-advertising/,"September 26, 2009",0,0,0,0,0,0
The Twitter investment and the decline of venture capital,http://cdixon.org/2009/09/25/the-twitter-investment-and-the-decline-of-venture-capital/,"September 25, 2009",0,0,1,0,0,0
Software patents should be abolished,http://cdixon.org/2009/09/24/software-patents-should-be-abolished/,"September 24, 2009",0,4,21,6,0,0
WSJ’s factually challenged argument against net neutrality,http://cdixon.org/2009/09/23/wsjs-factually-challenged-argument-against-net-neutrality/,"September 23, 2009",0,0,0,0,0,0
Climbing the wrong hill,http://cdixon.org/2009/09/19/climbing-the-wrong-hill/,"September 19, 2009",0,162,179,127,0,0
Thanks…,http://cdixon.org/2009/09/17/thanks/,"September 17, 2009",0,0,0,0,0,0
The inevitable showdown between Twitter and Twitter apps,http://cdixon.org/2009/09/14/the-inevitable-showdown-between-twitter-and-twitter-apps/,"September 14, 2009",0,3,58,24,0,0
Entrepreneurs need to learn some law,http://cdixon.org/2009/09/13/entrepreneurs-need-to-learn-some-law/,"September 13, 2009",0,1,3,0,0,0
Google and newspapers:  the false choice of opting out,http://cdixon.org/2009/09/12/google-and-newspapers-the-false-choice-of-opting-out/,"September 12, 2009",0,1,0,0,0,0
Non-linearity of technology adoption,http://cdixon.org/2009/09/10/non-linearity-of-technology-adoption/,"September 10, 2009",0,4,19,0,0,0
Getting a job in venture capital,http://cdixon.org/2009/09/08/getting-a-job-in-venture-capital/,"September 8, 2009",0,4,19,0,0,0
Is now a good time to start a company?,http://cdixon.org/2009/09/07/is-now-a-good-time-to-start-a-company/,"September 7, 2009",0,1,15,0,0,0
The only college major that matters,http://cdixon.org/2009/09/06/the-only-college-major-that-matters/,"September 6, 2009",0,10,2,0,0,0
Which VC firm should I pitch?,http://cdixon.org/2009/09/05/which-vc-firm-should-i-pitch/,"September 5, 2009",0,1,0,0,0,0
Dividing free and paid features in “freemium” products,http://cdixon.org/2009/09/04/dividing-free-and-paid-features-in-freemium-products/,"September 4, 2009",0,0,19,6,0,1
Incubators,http://cdixon.org/2009/09/04/incubators/,"September 4, 2009",0,0,17,0,0,0
New York City needs a tech startup blog,http://cdixon.org/2009/09/03/new-york-city-needs-a-tech-startup-blog/,"September 3, 2009",0,0,1,0,0,0
Don’t shop your term sheet,http://cdixon.org/2009/09/02/dont-shop-your-term-sheet/,"September 2, 2009",0,1,13,0,0,0
Question from a reader,http://cdixon.org/2009/09/02/question-from-a-reader/,"September 2, 2009",0,0,0,0,0,0
Information is the (other) currency of venture capital,http://cdixon.org/2009/09/01/information-is-the-other-currency-of-venture-capital/,"September 1, 2009",0,0,29,7,0,0
New York City is poised for a tech revival,http://cdixon.org/2009/08/31/new-york-city-is-poised-for-a-tech-revival/,"August 31, 2009",0,2,29,1,0,0
"VC’s care about the upside case, not the mean",http://cdixon.org/2009/08/31/pitch-vcs-the-right-tail-of-the-distribution-not-the-mean/,"August 31, 2009",0,0,18,2,0,0
"To make smarter systems, it’s all about the data",http://cdixon.org/2009/08/30/to-make-smarter-systems-its-all-about-the-data/,"August 30, 2009",0,0,20,0,0,0
Thales the Milesian,http://cdixon.org/2009/08/29/thales-the-milesian/,"August 29, 2009",0,0,0,0,0,0
function my_exit_payout(…),http://cdixon.org/2009/08/28/function-my_exit_payout/,"August 28, 2009",0,0,0,0,0,0
The one number you should know about your equity grant,http://cdixon.org/2009/08/27/the-one-number-you-should-know-about-your-equity-grant/,"August 27, 2009",0,12,34,1,0,1
Pitching the VC partnership,http://cdixon.org/2009/08/27/pitching-the-vc-partnership/,"August 27, 2009",0,1,22,0,0,0
The other problem with venture capital: management fees,http://cdixon.org/2009/08/26/the-other-problem-with-venture-capital-management-fees/,"August 26, 2009",0,0,12,1,0,0
Six strategies for overcoming “chicken and egg” problems,http://cdixon.org/2009/08/25/six-strategies-for-overcoming-chicken-and-egg-problems/,"August 25, 2009",0,19,105,27,0,4
The worst time to join a startup is right after it gets initial VC financing,http://cdixon.org/2009/08/24/the-worst-time-to-join-a-startup-is-right-after-it-gets-initial-vc-financing/,"August 24, 2009",0,5,26,4,0,0
TheFunded term sheet,http://cdixon.org/2009/08/24/thefunded-term-sheet/,"August 24, 2009",0,0,21,0,0,0
Dividing equity between founders,http://cdixon.org/2009/08/23/dividing-equity-between-founders/,"August 23, 2009",0,4,29,2,0,0
Why you shouldn’t keep your startup idea secret,http://cdixon.org/2009/08/22/why-you-shouldnt-keep-your-startup-idea-secret/,"August 22, 2009",0,55,110,15,0,1
Machine learning is really good at partially solving just about any problem,http://cdixon.org/2009/08/20/machine-learning-is-really-good-at-partially-solving-just-about-any-problem/,"August 20, 2009",0,0,50,27,0,1
"It’s the partner, not the firm",http://cdixon.org/2009/08/19/its-the-partner-not-the-firm/,"August 19, 2009",0,0,23,0,0,0
Options on early stage companies,http://cdixon.org/2009/08/18/options-on-early-stage-companies/,"August 18, 2009",0,12,30,2,0,0
Ideal first round funding terms,http://cdixon.org/2009/08/16/ideal-first-round-funding-terms/,"August 16, 2009",0,18,47,5,0,0
The problem with tranched VC investments,http://cdixon.org/2009/08/15/the-problem-with-tranched-vc-investments/,"August 15, 2009",0,5,66,0,0,0
The problem with taking seed money from big VCs,http://cdixon.org/2009/08/14/the-problem-with-taking-seed-money-from-big-vcs/,"August 14, 2009",0,17,27,10,0,3
Why seed investors don’t like convertible notes,http://cdixon.org/2009/08/12/why-seed-investors-dont-like-convertible-notes/,"August 12, 2009",0,1,16,0,0,0
Notes from brown bag lunch at Betaworks,http://cdixon.org/2009/08/05/notes-from-brown-bag-lunch-at-betaworks/,"August 5, 2009",0,3,23,0,0,0
Hunch decision topics,http://cdixon.org/2009/06/29/hunch-decision-topics/,"June 29, 2009",0,0,0,0,0,0
The farther away the better,http://cdixon.org/2009/06/22/228/,"June 22, 2009",0,0,0,0,0,0
The people want Jeeves back,http://cdixon.org/2009/06/19/the-people-want-jeeves-back/,"June 19, 2009",0,0,0,0,0,0
Hunch is open to the public!,http://cdixon.org/2009/06/15/hunch-is-open-to-the-public/,"June 15, 2009",0,0,0,0,0,0
10 facts,http://cdixon.org/2009/05/31/10-facts/,"May 31, 2009",0,0,0,0,0,0
The myth of the Eureka moment,http://cdixon.org/2009/05/15/the-myth-of-the-eureka-moment/,"May 15, 2009",0,3,1,2,0,1
Joining a startup is far less risky than most people think,http://cdixon.org/2009/05/11/joining-a-startup-is-far-less-risky-than-most-people-think/,"May 11, 2009",0,10,26,6,0,0
Mail pile,http://cdixon.org/2009/05/06/mail-pile/,"May 6, 2009",0,0,0,0,0,0
"password hints, security questions etc are a bad idea, reason #723",http://cdixon.org/2009/05/03/password-hints-security-questions-etc-are-a-bad-idea-reason-723/,"May 3, 2009",0,0,1,0,0,0
obama in nytimes magazine,http://cdixon.org/2009/05/03/obama-in-nytimes-magazine/,"May 3, 2009",0,0,0,0,0,0
oldie but goodie – funny stuff about VCs,http://cdixon.org/2009/04/30/oldie-but-goodie-funny-stuff-about-vcs/,"April 30, 2009",0,0,1,0,0,0
Founder vesting,http://cdixon.org/2009/04/21/founder-vesting/,"April 21, 2009",0,9,64,28,0,0
Naming your startup,http://cdixon.org/2009/04/18/naming-your-startup/,"April 18, 2009",0,3,70,35,0,0
From 1999,http://cdixon.org/2009/04/15/from-1999/,"April 15, 2009",0,0,0,0,0,0
NYTimes gets computer security wrong again,http://cdixon.org/2009/04/08/nytimes-gets-computer-security-wrong-again/,"April 8, 2009",0,0,0,0,0,0
Finally talking about…,http://cdixon.org/2009/03/28/finally-talking-about/,"March 28, 2009",0,0,0,0,0,0
Oh no you din’t!,http://cdixon.org/2009/03/16/oh-no-you-din/,"March 16, 2009",0,0,0,0,0,0
Remember when everyone wondered how Google was going to make money?,http://cdixon.org/2009/03/03/remember-when-everyone-wondered-how-google-was-going-to-make-money/,"March 3, 2009",0,0,0,0,0,0
brooklyn in the snow today,http://cdixon.org/2009/03/02/brooklyn-in-the-snow-today/,"March 2, 2009",0,0,0,0,0,0
optical illusion girlfriend,http://cdixon.org/2009/02/28/optical-illusion-girlfriend/,"February 28, 2009",0,0,0,0,0,0
tom has a blog,http://cdixon.org/2009/02/19/tom-has-a-blog/,"February 19, 2009",0,0,0,0,0,0
Garrison Keillor on Obama’s election,http://cdixon.org/2009/02/02/garrison-keillor-on-obamas-election/,"February 2, 2009",0,0,0,0,0,0
view of central park from skyscraper,http://cdixon.org/2009/01/22/view-of-central-park-from-skyscraper/,"January 22, 2009",0,0,0,0,0,0
i dropped my iphone in a bowl filled with water,http://cdixon.org/2008/12/29/i-dropped-my-iphone-in-a-bowl-filled-with-water/,"December 29, 2008",0,0,1,0,0,0
"barack, baby",http://cdixon.org/2008/11/19/barack-baby/,"November 19, 2008",0,0,0,0,0,0
this guy on my block was pretty excited about the election,http://cdixon.org/2008/11/16/this-guy-on-my-block-was-pretty-excited-about-the-election/,"November 16, 2008",0,0,0,0,0,0
great photos of Obama,http://cdixon.org/2008/11/06/great-photos-of-obama/,"November 6, 2008",0,0,0,0,0,0
nyc marathon,http://cdixon.org/2008/11/02/nyc-marathon/,"November 2, 2008",0,0,0,0,0,0
The Bill O’Reilly Kid,http://cdixon.org/2008/10/18/the-bill-oreilly-kid/,"October 18, 2008",0,0,0,0,0,0
This is what you get when the Fed is a student of Ayn Rand,http://cdixon.org/2008/10/09/alan-greenspan-is-almost-as-idiotic-as-his-hero-ayn-rand/,"October 9, 2008",0,0,0,0,0,0
sarah palin disney movie,http://cdixon.org/2008/09/25/sarah-palin-disney-movie/,"September 25, 2008",0,0,0,0,0,0
"Empire State Building, as shot by iPhone through a telescope",http://cdixon.org/2008/09/24/empire-state-building-as-shot-by-iphone-through-a-telescope/,"September 24, 2008",0,0,0,0,0,0
There are these two guys sitting together in a bar,http://cdixon.org/2008/09/17/there-are-these-two-guys-sitting-together-in-a-bar-in-the-remote-alaskan-wilderness/,"September 17, 2008",0,0,0,0,0,0
"",http://cdixon.org/2008/08/30/78/,"August 30, 2008",0,0,0,0,0,0
Things That Are Not Ironic,http://cdixon.org/2008/08/25/an-important-new-website/,"August 25, 2008",0,0,0,0,0,0
time magazine.  1978.  the computer society.,http://cdixon.org/2008/08/25/time-magazine-1978-the-computer-society/,"August 25, 2008",0,0,0,0,1,0
McSweeney’s corrections,http://cdixon.org/2008/08/20/corrections-to-last-months-letters/,"August 20, 2008",0,0,0,0,0,0
lamest video game endings,http://cdixon.org/2008/08/19/lamest-video-game-endings/,"August 19, 2008",0,0,0,0,0,0
old school,http://cdixon.org/2008/08/17/old-school/,"August 17, 2008",0,0,0,0,0,0
roof ball,http://cdixon.org/2008/08/14/roof-ball/,"August 14, 2008",0,0,0,0,0,0
Transformers,http://cdixon.org/2008/08/12/transformers/,"August 12, 2008",0,0,0,0,0,0
"letters, punctuation, numbers greater than 1, etc are for sissies",http://cdixon.org/2008/08/01/letters-punctuation-numbers-greater-than-1-etc-are-for-sissies/,"August 1, 2008",0,0,0,0,0,0
kelly ford,http://cdixon.org/2008/08/01/kelly-ford/,"August 1, 2008",0,0,0,0,0,0
enigmo = awesome,http://cdixon.org/2008/07/18/enigmo-awesome/,"July 18, 2008",0,0,0,0,0,0
"iphone apps- the good, bad, and mediocre",http://cdixon.org/2008/07/11/iphone-apps/,"July 11, 2008",0,0,0,0,0,0
i tried it and it’s true,http://cdixon.org/2008/07/11/i-tried-it-and-its-true/,"July 11, 2008",0,0,0,0,0,0
Big Picture,http://cdixon.org/2008/06/30/big-picture/,"June 30, 2008",0,0,0,0,0,0
south street in boston,http://cdixon.org/2008/06/01/south-street-in-boston/,"June 1, 2008",0,0,0,0,0,0
view of cambridge,http://cdixon.org/2008/05/30/view-of-cambridge/,"May 30, 2008",0,0,0,0,0,0
doritos truck spill,http://cdixon.org/2008/05/27/doritos-truck-spill/,"May 27, 2008",0,0,0,0,0,0
doug and tom’s manly paintball weekend,http://cdixon.org/2008/05/18/doug-and-toms-manly-paintball-weekend/,"May 18, 2008",0,0,0,0,0,0
moving day,http://cdixon.org/2008/05/09/moving-day/,"May 9, 2008",0,0,0,0,0,0
banner sized defender game,http://cdixon.org/2008/05/08/banner-sized-defender-game/,"May 8, 2008",0,0,0,0,0,0
daaaamn,http://cdixon.org/2008/05/07/daaaamn/,"May 7, 2008",0,0,0,0,0,0
go barack,http://cdixon.org/2008/05/06/go-barack/,"May 6, 2008",0,0,1,1,0,0
my apartment,http://cdixon.org/2008/05/06/i-want-to-stay-here/,"May 6, 2008",0,0,0,0,0,0
sunbelt blog,http://cdixon.org/2008/05/06/sunbelt-blog/,"May 6, 2008",0,0,0,0,0,0
liquidity and short term thinking,http://cdixon.org/2008/05/06/liquidity-and-short-term-thinking/,"May 6, 2008",0,0,0,0,0,0
"welcome, matt",http://cdixon.org/2008/05/05/welcome-matt/,"May 5, 2008",0,0,0,0,0,0
You remember the bar last July?,http://cdixon.org/2008/05/05/you-remember-the-bar-last-july/,"May 5, 2008",0,0,0,0,0,0
recently discovered,http://cdixon.org/2008/05/02/recently-discovered/,"May 2, 2008",0,0,0,0,0,0
Mossberg on SiteAdvisor,http://cdixon.org/2008/05/01/mossberg-on-siteadvisor/,"May 1, 2008",0,0,0,0,0,0
business books,http://cdixon.org/2008/04/29/business-books-i-recommend/,"April 29, 2008",0,0,0,0,0,0
pictures,http://cdixon.org/2008/04/28/pictures/,"April 28, 2008",0,0,0,0,0,0
Wator – population simulation,http://cdixon.org/2008/04/27/wator-population-simulation/,"April 27, 2008",0,0,0,0,0,0
barack,http://cdixon.org/2008/04/26/barack/,"April 26, 2008",0,0,0,0,0,0
office,http://cdixon.org/2008/04/26/office/,"April 26, 2008",0,0,0,0,0,0
Bad trend of the week:  security questions,http://cdixon.org/2008/04/26/bad-trend-of-the-week-security-questions/,"April 26, 2008",0,1,0,0,0,0
Shadow of the colossus,http://cdixon.org/2008/04/25/shadow-of-the-colossus/,"April 25, 2008",0,4,0,0,0,0
Found in the east village,http://cdixon.org/2008/04/25/found-in-the-east-village/,"April 25, 2008",0,0,0,0,0,0
html and gif art,http://cdixon.org/2008/04/24/html-and-gif-art/,"April 24, 2008",0,0,0,0,0,0
Some old photos,http://cdixon.org/2008/04/23/some-old-photos/,"April 23, 2008",0,0,0,0,0,0
Modern Art and Ticket To Ride,http://cdixon.org/2008/04/21/modern-art-and-ticket-to-ride/,"April 21, 2008",0,0,0,0,0,0
What to look for in hiring a VP Engineering for your internet startup,http://cdixon.org/2008/04/17/what-to-look-for-in-hiring-a-vp-engineering-for-your-internet-startup/,"April 17, 2008",0,0,0,0,0,0
Just upgraded my Verizon Broadband card to Rev A,http://cdixon.org/2008/04/17/just-upgraded-my-verizon-broadband-card-to-rev-a/,"April 17, 2008",0,0,0,0,0,0
Book Spam,http://cdixon.org/2008/04/14/book-spam/,"April 14, 2008",0,0,0,0,0,0
Advice for writing startup business plans,http://cdixon.org/2008/04/14/switching-from-tumblr-to-wordpress/,"April 14, 2008",0,0,1,0,0,0
Cranes on the pier of the Hudson River,http://cdixon.org/2008/04/10/cranes-on-the-pier-of-the-hudson-river/,"April 10, 2008",0,0,0,0,0,0
switched to wordpress from tumblr,http://cdixon.org/2008/04/09/switched-to-wordpress-from-tumblr/,"April 9, 2008",0,0,0,0,0,0
